;
; This file defines the base virtual address for Dynamic Link Libraries (DLL)
; that are part of the Windows NT System.  The first token on a line is the name
; of the DLL and the second token is the base virtual address, in hexidecimal.
; The third token is the maximum size of the DLL image file, including symbols.
;
;  NOTE:  Unused areas are marked as _FREE_.
VSWMF       0x57d00000  0x10080000
VSWORD      0x57d80000  0x10080000
VSWORK      0x57e00000  0x10080000
VSWP5       0x57e80000  0x10080000
VSWP6       0x57f00000  0x10080000
VSWPF       0x57f80000  0x10080000
VSWS2       0x58000000  0x10080000
VSXL5       0x58080000  0x10080000
VSXY        0x58100000  0x10080000
CFM30       0x58180000  0x10100000
CFM30U      0x58280000  0x10100000
CFMO30      0x58380000  0x10080000
CFMO30U     0x58400000  0x10080000
inetcpl     0x58500000  0x10080000
secsspi     0x58580000  0x10080000
msnsspc     0x58600000  0x10080000
qperf       0x58680000  0x10080000
iismap      0x58700000  0x10080000
iiscrmap    0x58780000  0x10080000


;
; Security Related DLLs (there is only
; ever one at a time, hence the overlap)
;
schannel    0x78160000  0x10100000
schnl128    0x78160000  0x10100000
schanlsa    0x58900000  0x10080000
secure32    0x58980000  0x10080000

w3scfg      0x58A00000  0x10080000
fscfg       0x58A80000  0x10080000
gscfg       0x58B00000  0x10080000
ipudll      0x58B80000  0x10080000
mupkd       0x58C00000  0x10080000
netsetup    0x58C80000  0x10080000
netcfg      0x58D00000  0x10100000
w3key       0x58E00000  0x10080000
hid         0x58E80000  0x10080000
powercfg    0x58F00000  0x10080000
ntmarta     0x58F80000  0x10080000
ntdsa       0x59000000  0x10200000
ntdssmtp    0x59200000  0x10080000
ntdsapi     0x59280000  0x10080000
printree    0x59300000  0x10080000
lexnetui    0x59380000  0x10080000
mvprm       0x59400000  0x10080000
mvprtobj    0x59480000  0x10080000
mvpo_wri    0x59500000  0x10080000
mvpo_sun    0x59580000  0x10080000
mvprtmgr    0x59600000  0x10080000
mvresdll    0x59680000  0x10080000
mvguidll    0x59700000  0x10080000
agguidll    0x59780000  0x10080000
sfguidll    0x59800000  0x10080000
common      0x59880000  0x10080000
lexll32     0x59900000  0x10080000
lexip32     0x59980000  0x10080000
lexipx32    0x59A00000  0x10080000
mvprtgui    0x59A80000  0x10080000
agprtgui    0x59B00000  0x10080000
sfprtgui    0x59B80000  0x10080000
mvntinst    0x59C00000  0x10080000
lexbce      0x59C80000  0x10080000
lexbcelm    0x59D00000  0x10080000
lexlmpm     0x59D80000  0x10080000
lexlang     0x59E00000  0x10080000
lexcfg      0x59E80000  0x10080000
interact    0x59F00000  0x10080000
lexmon      0x59F80000  0x10080000
drax400     0x5A000000  0x10080000
joy         0x5A080000  0x10080000
backend     0x5a500000  0x10080000
ccrdsvr     0x5a580000  0x10080000
certapi     0x5a600000  0x10080000
certhelp    0x5a680000  0x10080000
certstor    0x5a700000  0x10080000
pstorep     0x5a780000  0x10080000
pstorec     0x5a800000  0x10080000
psbase      0x5a880000  0x10080000

; Policy modules all reside at the same base address.
certpol     0x5a900000  0x10080000
certpdef    0x5a900000  0x10080000
certpent    0x5a900000  0x10080000
certpsam    0x5a900000  0x10080000

certif      0x5a980000  0x10080000
certenc     0x5aa00000  0x10080000
certexit    0x5aa80000  0x10080000
certadm     0x5ab00000  0x10080000
certcli     0x5ab80000  0x10080000
webhits     0x5ac00000  0x10040000
fontsub     0x5ac40000  0x10040000
msidxs      0x5ac80000  0x10080000
feclient    0x5ad00000  0x10080000
dnsmgr      0x5ad80000  0x10080000
dsprop      0x5ae00000  0x10080000
dsuiext     0x5ae80000  0x10080000
digsig      0x5af00000  0x10080000
wintrust    0x5af80000  0x10080000
runornot    0x5b000000  0x10080000
pcertsvr    0x5b080000  0x10080000
certxent    0x5b100000  0x10080000
redir       0x5b180000  0x10080000
spc         0x5b200000  0x10080000
syscert     0x5b280000  0x10080000
thunkcr     0x5b300000  0x10080000
wincert     0x5b380000  0x10080000
wintrust    0x5b400000  0x10080000
scpmer      0x5b480000  0x10080000
scppay      0x5b500000  0x10080000
scproot     0x5b580000  0x10080000
advpack     0x5b600000  0x10080000
;Next Three Slots for hprasdd
hprasdd     0x5b680000  0x10080000
hprasdui    0x5b700000  0x10080000
hp5sim      0x5b780000  0x10080000
msimg32     0x5b800000  0x10100000
; CODEWORK doubly-used space here
mscms       0x5b880000  0x10100000
; space     0x5b900000  0x10100000
mmc         0x5b980000  0x10100000
mmcndmgr    0x5ba80000  0x10180000
bull24      0x5bc00000  0x10080000
bull9       0x5bc80000  0x10080000
dpcpcl      0x5bd00000  0x10080000
snapsamp    0x5bd80000  0x10080000
cmnquery    0x5be00000  0x10080000
dsctl       0x5be80000  0x10080000
bullaser    0x5bf00000  0x10080000
comctl32    0x5bf80000  0x10080000
;DirectDraw's shared data block:
;(keep in sync with private\ntos\w32\ntgdi\direct\ddraw\main\umodemem.c)
ddmemblk    0x5c000000  0x00100000
; These dlls will reappear in some other form in DX7
d3dim700    0x5c000000  0x10200000
d3dref      0x5c200000  0x10080000
; d3drgbf     0x5c280000  0x10080000
; d3drm16f    0x5c300000  0x10080000
; d3drm32f    0x5c380000  0x10080000
d3dpmesh    0x5c400000  0x10080000
; d3drm8f     0x5c480000  0x10080000
d3dxof      0x5c500000  0x10080000
; d3drg24f    0x5c580000  0x10080000
; d3drm24f    0x5c600000  0x10080000
dfrgsnap    0x5c680000  0x10080000
msw3prt     0x5c700000  0x10080000
ntdsetup    0x5c780000  0x10080000
winrnr      0x5c800000  0x10080000
comcat      0x5c880000  0x10080000
iscomlog    0x5c900000  0x10080000
mailnews    0x5c980000  0x10020000
iislog      0x5ca00000  0x10080000
lprmonui    0x5ca80000  0x10080000
smonctrl    0x5cb00000  0x10080000
dssec       0x5cb80000  0x10080000
hp5simui    0x5cc00000  0x10080000
ipsecsnp    0x5cc80000  0x10080000
mspui       0x5cd00000  0x10080000
wshom       0x5cd80000  0x10080000
chanelui    0x5ce00000  0x10080000
dsadmin     0x5ce80000  0x10080000
crypt32     0x5cf00000  0x10100000
ochelpr     0x5d000000  0x10080000
ocimgr      0x5d080000  0x10080000
spriter     0x5d100000  0x10080000
stager      0x5d180000  0x10080000
textfxr     0x5d200000  0x10080000
hostlwr     0x5d280000  0x10080000
hhctrl      0x5d300000  0x10080000
themes      0x5d380000  0x10080000
plustab     0x5d400000  0x10080000
htmlhelp    0x5d480000  0x10080000
aclui       0x5d500000  0x10080000
bull18      0x5d580000  0x10080000
x42xxpcl    0x5d600000  0x10080000
iisui       0x5d680000  0x10080000
certmap     0x5d700000  0x10080000
redirect    0x5d780000  0x10080000
lonsint     0x5d800000  0x10080000
lonsiw95    0x5d800000  0x10080000
passfilt    0x5d880000  0x10080000
iprop       0x5d900000  0x10080000
; d3drgbxf    0x5d980000  0x10080000
; d3drg24x    0x5da00000  0x10080000
; d3drg32x    0x5da80000  0x10080000
; d3drg55x    0x5db00000  0x10080000
; d3drg56x    0x5db80000  0x10080000
; d3drg8x     0x5dc00000  0x10080000
rapilib     0x5dc80000  0x10080000
rsvpsp      0x5dd00000  0x10080000
traffic     0x5dd80000  0x10080000
nsepm       0x5de00000  0x10080000
zawproxy    0x5de80000  0x10080000
dpwsockx    0x5df00000  0x10080000
dpmodemx    0x5df80000  0x10080000
dpldplay    0x5e000000  0x10080000
dplayx      0x5e080000  0x10080000
inetpp      0x5e100000  0x10080000
coadmin     0x5e180000  0x10080000
mlang       0x5e200000  0x10080000
idq         0x5e280000  0x10080000
; deliberate sharing of address space
ixsso       0x5e300000  0x10080000
oixsso      0x5e300000  0x10080000
msoss       0x5e380000  0x10100000
msw3prt     0x5e480000  0x10080000
batmeter    0x5e500000  0x10080000
msapi       0x5e580000  0x10080000
powrprof    0x5e600000  0x10080000
wsock32n    0x5e680000  0x10080000
wam         0x5e700000  0x10080000
els         0x5e780000  0x10080000
filemgmt    0x5e800000  0x10080000
mycomput    0x5e880000  0x10080000
icm32       0x5e900000  0x10080000
icmui       0x5e980000  0x10080000
inetmgr     0x5eA00000  0x10080000
rpcns4      0x5eA80000  0x10080000
rpclt1      0x5eB00000  0x10080000
domadmin    0x5eB80000  0x10080000
inetcomm    0x5eC00000  0x10080000
dnlins      0x5eC80000  0x10080000
wamreg      0x5eD00000  0x10080000
rpcisapi    0x5eD80000  0x10080000
mssip32     0x5eE00000  0x10080000
mcd32       0x5eE80000  0x10080000
ksuser      0x5eF80000  0x10080000
scesrv.dll  0x5F000000  0x10080000
scarddat    0x5F080000  0x10080000
scardmgr    0x5F100000  0x10080000
scardsrv    0x5F180000  0x10080000
scarddlg    0x5F200000  0x10080000
winscard    0x5F280000  0x10080000
csocm       0x5F300000  0x10080000
wsecedit    0x5F380000  0x10080000
dcpromo     0x5F400000  0x10080000
acpintsd    0x5F480000  0x10080000
appmgr      0x5F500000  0x10080000
dinput      0x5F580000  0x10080000
gpedit      0x5F580000  0x10080000
snmpapi     0x5F600000  0x10080000
snmpsfx     0x5F680000  0x10080000
mgmtapi     0x5F700000  0x10080000
wsnmp32     0x5F780000  0x10080000
gcdef       0x5F800000  0x10080000
pid         0x5F880000  0x10080000
asp         0x5f900000  0x10100000
getfile     0x5f900000  0x10100000

; deliberate sharing of address space b/w IIS/ASP sample components
adrot       0x5fa00000  0x10080000
status      0x5fa00000  0x10080000
myinfo      0x5fa00000  0x10080000
tools       0x5fa00000  0x10080000
counters    0x5fa00000  0x10080000

nextlink    0x5fa80000  0x10080000
browscap    0x5fb00000  0x10080000
aspperf     0x5fb80000  0x10080000
dmocx       0x5fc00000  0x10080000
devmgr      0x5fc80000  0x10100000

; both for SCE components, ok to share
scecli      0x5fd00000  0x10080000

dnsapi      0x5fd80000  0x10080000
addrgen     0x5fe00000  0x10080000
unires      0x5fe80000  0x10100000
dnsrslvr    0x5ff80000  0x10080000
sdpparse    0x60000000  0x10080000
; deliberate shareing of space b/w mssign32 & signer
mssign32    0x60080000  0x10080000
signer      0x60080000  0x10080000

g723codc    0x60100000  0x10080000

;
;  Code Page DLLs are all the same.
;
c_eucdb     0x60180000  0x10080000
c_is2022    0x60180000  0x10080000
c_iscii     0x60180000  0x10080000
c_snadb     0x60180000  0x10080000

certmmc     0x60200000  0x10080000
ntfrsapi    0x60280000  0x10080000
certdb      0x60300000  0x10080000
cic         0x60380000  0x10080000
ciodm       0x60400000  0x10080000
tifflt      0x60480000  0x10080000
ismapi      0x60500000  0x10080000
ismip       0x60580000  0x10080000
ntdsatq     0x60600000  0x10080000
capesnpn    0x60680000  0x10080000
ismsmtp     0x60700000  0x10080000
gki         0x60780000  0x10080000
dxmrtp      0x60800000  0x10100000
ntmsapi     0x60900000  0x10080000
ntmsdba     0x60980000  0x10080000
ntmsmgr     0x60a00000  0x10080000
ntmsevt     0x60c00000  0x10080000
mll_ntbk    0x60a80000  0x10080000
mll_scr     0x60b00000  0x10080000
sporder     0x60b80000  0x10080000
sfmsnap     0x60c00000  0x10080000
certprxy    0x60c80000  0x10080000
mscat32     0x60d00000  0x10080000
ksclockf    0x60d80000  0x10080000
ksdata      0x60e00000  0x10080000
ksinterf    0x60e80000  0x10080000
ksproxy     0x60f00000  0x10080000
ksqmf       0x60f80000  0x10080000
pwsext      0x61000000  0x10080000
cryptmnu    0x61080000  0x10080000
scsikd      0x61100000  0x10080000
wmi         0x61180000  0x10080000
mstask      0x61200000  0x10100000
streamci    0x61300000  0x10080000
msrevoke    0x61380000  0x10080000
cryptui     0x61400000  0x10100000  ;; ispu
nsrevoke    0x61400000  0x10080000  ;; using same space as cryptui! (ispu)
vsrevoke    0x61480000  0x10080000  ;; using same space as cryptui! (ispu)
tcpmib      0x61500000  0x10080000
batt        0x61580000  0x10080000
msacal70    0x61600000  0x10080000
certocm     0x61680000  0x10080000
shhndl      0x61700000  0x10080000
cscnp       0x61780000  0x10080000
cscdll      0x61800000  0x10080000
oleacc      0x61880000  0x10080000
_FREE_      0x61900000  0x10080000
w3prtflt    0x61980000  0x10080000
hotplug     0x61a00000  0x10080000
hdwwiz      0x61a80000  0x10080000
newdev      0x61b00000  0x10080000
wshatm      0x61b80000  0x10080000
dfrgui      0x61c00000  0x10080000
seclogon    0x61c80000  0x10080000
qosname     0x61d00000  0x10080000
mag_hook    0x61d80000  0x10080000
netupgrd    0x61e00000  0x10080000
sfncfg      0x61e80000  0x10080000
msrhook     0x61f00000  0x10080000
ipsecext    0x61f80000  0x10080000
ipconf      0x62000000  0x10080000
g711codc    0x62080000  0x10080000
h261_32     0x62100000  0x10080000
h263_32     0x62180000  0x10080000
certxds     0x62200000  0x10080000
confmsp     0x62280000  0x10080000
rend        0x62300000  0x10080000
h323msp     0x62380000  0x10080000
wavemsp     0x62400000  0x10080000
tapi3       0x62480000  0x10080000
termmgr     0x62500000  0x10080000
isrdbg32    0x62580000  0x10080000
nmoss       0x62600000  0x10080000
h245ws      0x62680000  0x10080000
h245        0x62700000  0x10080000
callcont    0x62780000  0x10080000
h323        0x62800000  0x10080000
schmmgmt    0x62880000  0x10080000
trkwks      0x62900000  0x10080000
trksvr      0x62980000  0x10080000
oleprn      0x62A00000  0x10080000
wshext      0x62A80000  0x10080000
dsmwizpg    0x62B00000  0x10040000
dsmconfg    0x62B40000  0x10040000
dsmconn     0x62B80000  0x10040000
dsmdisc     0x62BC0000  0x10040000
dsmevtlg    0x62C00000  0x10040000
dsmfilwz    0x62C40000  0x10040000
dsmigrat    0x62C80000  0x10040000
dsmio       0x62CC0000  0x10040000
dsmlogob    0x62D00000  0x10040000
dsmobjdg    0x62D40000  0x10040000
dsmobjim    0x62D80000  0x10040000
dsmobjm     0x62DC0000  0x10040000
dsmoptdg    0x62E00000  0x10040000
dsmstdlg    0x62E40000  0x10040000
dsmstr      0x62E80000  0x10040000
dsmtb       0x62EC0000  0x10040000
dsmtreem    0x62F00000  0x10040000
dsmads      0x62F40000  0x10040000
dsmobjsl    0x62F40000  0x10040000
setupqry    0x62FC0000  0x10040000
wininet     0x63000000  0x10100000
cachevu     0x63100000  0x10080000
shlwapi     0x63180000  0x10080000
urlmon      0x63200000  0x10080000
url         0x63280000  0x10080000
js          0x63300000  0x10080000
jscript     0x63380000  0x10080000
msrating    0x63400000  0x10080000
ichrcnv     0x63480000  0x10080000
shdocvw     0x63500000  0x10080000
mshtml      0x63580000  0x10080000
htmlctl     0x63600000  0x10080000
inetcpl     0x63680000  0x10080000
actxprxy    0x63700000  0x10080000
occache     0x63780000  0x10080000
winsspi     0x63800000  0x10100000
cdfview     0x63900000  0x10080000
mslocusr    0x63980000  0x10040000
cryptext    0x63A00000  0x10080000
trustcom    0x63A80000  0x10080000
cryptnet    0x63B00000  0x10080000
msxml       0x64000000  0x10100000
smjet       0x64100000  0x10080000
rpcproxy    0x64180000  0x10080000
msimnui     0x64200000  0x10080000
inetcomm    0x64280000  0x10080000
msoeacct    0x64300000  0x10080000
msoert      0x64380000  0x10080000
msimnimp    0x64400000  0x10080000
cryptdlg    0x64480000  0x10080000
ieshstub    0x64500000  0x10080000
secbasic    0x64580000  0x10080000
w3pcache    0x64600000  0x10080000
msplog      0x64680000  0x10080000
w3pinet     0x64700000  0x10080000
d3drm       0x64780000  0x10100000
dfrgres     0x64880000  0x10080000
sdpblb      0x64900000  0x10080000
msica       0x64980000  0x10080000
dhcpsnap    0x64A00000  0x10100000
wdmaud      0x64B00000  0x10080000
w32time     0x64B80000  0x10080000
_FREE_      0x64C00000  0x10080000
_FREE_      0x64C80000  0x10080000
tapisnap    0x64D00000  0x10080000
tsec        0x64D80000  0x10080000
dacui       0x64E00000  0x10080000
msctl       0x64E80000  0x10080000
loghours    0x64F00000  0x10080000
scntvssp    0x64F80000  0x10080000
ddrawex     0x65000000  0x10080000
lpk         0x65080000  0x10080000
usp         0x65180000  0x10080000      ;; obsoleted by usp10.dll
usp10       0x65100000  0x10080000
ftlx041e    0x65300000  0x10080000
ftlx0411    0x65300000  0x10080000
kstvtune    0x65380000  0x10080000
ksxbar      0x65400000  0x10080000
trkcom      0x65480000  0x10080000
itrkadmn    0x65500000  0x10080000
dmconfig    0x65580000  0x10100000
dmdskmgr    0x65680000  0x10080000
dmdskres    0x65700000  0x10080000
dmintf      0x65780000  0x10080000
dmview      0x65800000  0x10080000
;; cryptui     0x65880000  0x10080000   ispu reserved
sefilshr    0x65900000  0x10080000
scesmbex    0x65980000  0x10080000
mprsnap     0x65A00000  0x10200000
ipxsnap     0x65C00000  0x10100000
dfscore     0x65D00000  0x10080000
dfsgui      0x65D80000  0x10080000
msoeui      0x65E00000  0x10080000
msoemapi    0x65E80000  0x10080000
rasuser     0x65F00000  0x10080000
savepass    0x66000000  0x10080000
winssnap    0x66080000  0x10100000
dmdlgs      0x66180000  0x10080000
twain_32    0x66200000  0x10080000
twsrc_32    0x66280000  0x10080000
acpike      0x66300000  0x10080000
irdakdx     0x66380000  0x10080000
wshirda     0x66400000  0x10080000
pautoenr    0x66480000  0x10080000
ipsnap      0x66500000  0x10180000
irmon       0x66580000  0x10080000
ntdsupg     0x66600000  0x10080000
sfc         0x66680000  0x10080000
sfcfiles    0x66700000  0x10080000
sfccpl      0x66780000  0x10080000


; Canon Bubble Jet by Canon
cnbjdrs     0x66440000  0x10040000
cnbjdrc     0x66480000  0x10080000
cnbjdrv     0x66500000  0x10040000
cnbjui      0x66680000  0x10020000
cnbjmon     0x666e0000  0x10020000

cnb680j     0x66700000  0x10020000
cnb820j     0x66720000  0x10020000
cnb210j     0x66740000  0x10020000
cnb240j     0x66760000  0x10020000
cnb250j     0x66780000  0x10020000
cnb35v      0x667a0000  0x10020000
cnb35vii    0x667c0000  0x10020000
cnb80v      0x667e0000  0x10020000
cnb400j     0x66800000  0x10020000
cnb410j     0x66820000  0x10020000
cnb420j     0x66840000  0x10020000
cnb430j     0x66860000  0x10020000
cnb455j     0x66880000  0x10020000
cnb465j     0x668a0000  0x10020000
cnb5500j    0x668c0000  0x10020000
cnb600j     0x668e0000  0x10020000
cnb610jw    0x66900000  0x10020000
cnb620jw    0x66920000  0x10020000
cnb800      0x66940000  0x10020000
cnb820      0x66960000  0x10020000
cnb210      0x66980000  0x10020000
cnb240      0x669a0000  0x10020000
cnb250      0x669c0000  0x10020000
cnb70       0x669e0000  0x10020000
cnb80       0x66a00000  0x10020000
cnb4000     0x66a20000  0x10020000
cnb4100     0x66a40000  0x10020000
cnb4200     0x66a60000  0x10020000
cnb4300     0x66a80000  0x10020000
cnb4550     0x66aa0000  0x10020000
cnb4650     0x66ac0000  0x10020000
cnb5500     0x66ae0000  0x10020000
cnb600      0x66b00000  0x10020000
cnb600e     0x66b20000  0x10020000
cnb610      0x66b40000  0x10020000
cnb620      0x66b60000  0x10020000
cnb210sp    0x66b80000  0x00020000
cnb255sp    0x66ba0000  0x00020000
cnb4200s    0x66bc0000  0x00020000
cnb7000     0x66be0000  0x00020000
cnb700j     0x66c00000  0x00020000
cnb4400     0x66a80000  0x10020000
cnb440j     0x66a80000  0x10020000
cnb50       0x66a80000  0x10020000
cnb50v      0x66a80000  0x10020000
cnb4300s    0x66a80000  0x10020000

; Epson Color Inkjet Plugins by Seiko Epson
EPNDRV01    0x66b80000  0x10020000
EPNGUI10    0x66ba0000  0x10080000

TTYUD       0x66c20000  0x10080000

EPNHTX01    0x66ca0000  0x10100000
EPNHTX02    0x66da0000  0x10100000
EPNHTX04    0x66ea0000  0x10100000
EPNHTX05    0x67fa0000  0x10100000
EPNHTX07    0x670a0000  0x10100000
EPNHTX09    0x671a0000  0x10100000
EPNHTX0A    0x672a0000  0x10100000
EPNHTX11    0x673a0000  0x10100000
EPNHTX2H    0x674a0000  0x10200000
EPNHTE2K    0x676a0000  0x10300000
localsec    0x67900000  0x10080000
EPNUTX22    0x679a0000  0x10080000

dmutil      0x67a20000  0x10080000
dmrecovr    0x67aa0000  0x10080000
acssnap     0x67b20000  0x10080000
efsadu      0x67ba0000  0x10080000

; msidpe is for client and msidlpm is for server so
; both using the same address space
msidpe      0x67c20000  0x10080000
msidlpm     0x67c20000  0x10080000

rtrfiltr    0x67d00000  0x10080000
msgina      0x67d80000  0x10100000
ksolay      0x67e80000  0x10080000
ksvpintf    0x67f00000  0x10080000
kstvtune    0x67f80000  0x10080000

;
; Big things
;
glmf32      0x68000000  0x10300000
jet         0x68300000  0x10300000
jet500      0x68600000  0x10300000
kernel32    0x68900000  0x10300000
netui2      0x68c00000  0x10300000
ole32       0x68f00000  0x10300000
opengl32    0x69200000  0x10300000
_FREE_      0x69500000  0x10300000
shell32     0x69800000  0x10300000
shellalt    0x69b00000  0x10300000
user32      0x69e00000  0x10300000
ntdll       0x6A200000  0x10100000
metadata    0x6A300000  0x10300000
query       0x6A600000  0x10400000
oquery      0x6AA00000  0x10200000
edb500      0x6AC00000  0x10300000

;
; Wow64 components(0x6B000000 - 0x6B7FFFFF)
wow64       0x6B000000    0x00180000
wow64cpu    0x6B180000    0x00080000
; Remaining wow64 space is for special versions of ntdll, kernel32, and user32
ntdll32     0x6B200000    0x00300000
user3232    0x6B600000    0x10300000
kernel3232  0x6BA00000    0x10300000

;
; The following range is reserved for all IIS components.
;
iis_all     0x68000000  0x1B000000

dskquota    0x73000000  0x10080000
rasppp      0x73080000  0x10080000
mprddm      0x73100000  0x10020000
mdhcp       0x73120000  0x10080000
rastls      0x731A0000  0x10080000
raschap     0x73220000  0x10080000
avtapi      0x732A0000  0x10080000
avmeter     0x73320000  0x10080000
avvcap      0x733A0000  0x10080000
avwav       0x73420000  0x10080000
rcamsp      0x734A0000  0x10080000
dx7vb       0x73520000  0x10200000
_FREE_      0x73720000  0x10460000
dskquoui    0x73800000  0x10080000
_FREE_      0x73880000  0x10080000
appmgmts    0x73900000  0x10080000
fde         0x73980000  0x10080000
fdeploy     0x73A00000  0x10600000
d3dim       0x74000000  0x10200000
polstore    0x74200000  0x10080000
ipfilter    0x74280000  0x10080000
msreqrep    0x74300000  0x10080000
digiupg     0x74380000  0x10080000
netcfgx     0x74400000  0x10200000
netshell    0x74600000  0x10100000
netupgx     0x74700000  0x10080000
sfncfgx     0x74780000  0x10080000
objsel      0x74800000  0x10080000
pubquery    0x74880000  0x10080000
kswdmcap    0x74900000  0x10080000
oakley      0x74980000  0x10080000
imadmui     0x74A00000  0x10080000
netoc       0x74A80000  0x10080000
getuname    0x74B00000  0x10080000
certmgr     0x74B80000  0x10100000
polagent    0x74C00000  0x10080000
rrasprxy    0x74C80000  0x10080000
remrras     0x74D00000  0x10080000
nlir        0x74D80000  0x10180000


;
; Event System and SENS components
;
sens        0x75000000  0x10080000
sensapi     0x76000000  0x10080000
senscfg     0x76080000  0x10080000
wlnotify    0x76100000  0x10080000
_FREE_      0x76180000  0x10080000
es          0x76200000  0x10080000
essrvps     0x76280000  0x10080000
estier2     0x76300000  0x10100000
esshared    0x76400000  0x10080000

ntoc        0x76480000  0x10080000
comreg32    0x76500000  0x10080000

;
; SyncMgr components
;
mobsync     0x77000000  0x10080000

;
; Printing components
;
tcpmonui     0x77080000  0x10080000
usbmon       0x77100000  0x10080000

; DirectMusic components
;
dmusic       0x77180000  0x10080000
dmband       0x77200000  0x10080000
dmcompos     0x77280000  0x10080000
dmime        0x77300000  0x10080000
dmloader     0x77380000  0x10080000
dmstyle      0x77400000  0x10080000
dmsynth      0x77480000  0x10080000

; solar coaster components
;
telnetc      0x77500000  0x10080000
tlntsess     0x77580000  0x10080000
tlntsvr      0x77600000  0x10080000

; New D3d components

rpcss       0x77800000  0x10080000

d3dramp     0x77880000  0x10080000
ksxbar      0x77900000  0x10080000
kswdmcap    0x77980000  0x10080000

faxadmin    0x77a00000  0x10080000
faxcom      0x77a80000  0x10080000
faxdrv      0x77b00000  0x10080000
faxevent    0x77b80000  0x10080000
faxext32    0x77c00000  0x10080000
faxmapi     0x77c80000  0x10080000
msfaxmon    0x77d00000  0x10080000
faxocm      0x77d80000  0x10080000
faxperf     0x77e00000  0x10080000
faxroute    0x77e80000  0x10080000
faxshell    0x77f00000  0x10080000
faxt30      0x77f80000  0x10080000
faxtiff     0x78000000  0x10080000
faxui       0x78080000  0x10080000
faxxpp32    0x78100000  0x10080000
routeext    0x78180000  0x10080000
winfax      0x78200000  0x10080000


;  If we run out, there's more before this range.

executive   0xD0020000  0x18000000
